																Vergleich der Annotator:innen										Vergleich der Annotator:innen mit Goldstandard von Alina			
Der	O	Der	0	Der	0	0	0	Der	0	Der	0	0	0	Der	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Graf	O	Graf	0	Graf	0	0	0	Graf	0	Graf	0	0	0	Graf	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
und	O	und	0	und	0	0	0	und	0	und	0	0	0	und	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
die	O	die	0	die	0	0	0	die	0	die	0	0	0	die	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Gräfin	O	Gräfin	0	Gräfin	0	0	0	Gräfin	0	Gräfin	0	0	0	Gräfin	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
hatten	O	hatten	0	hatten	0	0	0	hatten	0	hatten	0	0	0	hatten	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
sich	O	sich	0	sich	0	0	0	sich	0	sich	0	0	0	sich	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
in	O	in	0	in	0	0	0	in	0	in	0	0	0	in	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
ihrer	O	ihrer	0	ihrer	0	0	0	ihrer	0	ihrer	0	0	0	ihrer	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
neueingerichteten	O	neueingerichteten	0	neueingerichteten	0	0	0	neueingerichteten	0	neueingerichteten	0	0	0	neueingerichteten	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Wohnung	O	Wohnung	0	W0hnung	0	0	0	W0hnung	0	W0hnung	0	0	0	W0hnung	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
im	O	im	0	im	0	0	0	im	0	im	0	0	0	im	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Forsthause	O	Forsthause	0	F0rsthause	0	0	0	F0rsthause	0	F0rsthause	0	0	0	F0rsthause	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
des	O	des	0	des	0	0	0	des	0	des	0	0	0	des	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Reviers	O	Reviers	0	Reviers	0	0	0	Reviers	0	Reviers	0	0	0	Reviers	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Fichtenberg	O	Fichtenberg	0	Fichtenberg	0	0	0	Fichtenberg	0	Fichtenberg	0	0	0	Fichtenberg	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
einquartiert	O	einquartiert	0	einquartiert	0	0	0	einquartiert	0	einquartiert	0	0	0	einquartiert	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
,	O	,	0	,	0	0	0	,	0	,	0	0	0	,	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
um	O	um	0	um	0	0	0	um	0	um	0	0	0	um	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
die	O	die	0	die	0	0	0	die	0	die	0	0	0	die	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Zeit	O	Zeit	0	Zeit	0	0	0	Zeit	0	Zeit	0	0	0	Zeit	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
des	O	des	0	des	0	0	0	des	0	des	0	0	0	des	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Schnepfeneinfalls	O	Schnepfeneinfalls	0	Schnepfeneinfalls	0	0	0	Schnepfeneinfalls	0	Schnepfeneinfalls	0	0	0	Schnepfeneinfalls	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
gehörig	O	gehörig	0	gehörig	0	0	0	gehörig	0	gehörig	0	0	0	gehörig	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
auszunutzen	O	auszunutzen	0	auszunutzen	0	0	0	auszunutzen	0	auszunutzen	0	0	0	auszunutzen	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
.	O	.	0	.	0	0	0	.	0	.	0	0	0	.	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Da	O	Da	0	Da	0	0	0	Da	0	Da	0	0	0	Da	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
erlagen	O	erlagen	0	erlagen	0	0	0	erlagen	0	erlagen	0	0	0	erlagen	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
viele	O	viele	0	viele	0	0	0	viele	0	viele	0	0	0	viele	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
der	O	der	0	der	0	0	0	der	0	der	0	0	0	der	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
geflügelten	O	geflügelten	0	geflügelten	0	0	0	geflügelten	0	geflügelten	0	0	0	geflügelten	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Reisenden	O	Reisenden	0	Reisenden	0	0	0	Reisenden	0	Reisenden	0	0	0	Reisenden	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
,	O	,	0	,	0	0	0	,	0	,	0	0	0	,	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
die	O	die	0	die	0	0	0	die	0	die	0	0	0	die	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
eine	O	eine	0	eine	0	0	0	eine	0	eine	0	0	0	eine	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Zuflucht	O	Zuflucht	0	Zuflucht	0	0	0	Zuflucht	0	Zuflucht	0	0	0	Zuflucht	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
in	O	in	0	in	0	0	0	in	0	in	0	0	0	in	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
den	O	den	0	den	0	0	0	den	0	den	0	0	0	den	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
feuchten	O	feuchten	0	feuchten	0	0	0	feuchten	0	feuchten	0	0	0	feuchten	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Niederungen	O	Niederungen	0	Niederungen	0	0	0	Niederungen	0	Niederungen	0	0	0	Niederungen	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
der	O	der	0	der	0	0	0	der	0	der	0	0	0	der	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Nadelwälder	O	Nadelwälder	0	Nadelwälder	0	0	0	Nadelwälder	0	Nadelwälder	0	0	0	Nadelwälder	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
gesucht	O	gesucht	0	gesucht	0	0	0	gesucht	0	gesucht	0	0	0	gesucht	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
hatten	O	hatten	0	hatten	0	0	0	hatten	0	hatten	0	0	0	hatten	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
.	O	.	0	.	0	0	0	.	0	.	0	0	0	.	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Je	O	Je	0	Je	0	0	0	Je	0	Je	0	0	0	Je	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
blutiger	O	blutiger	0	blutiger	0	0	0	blutiger	0	blutiger	0	0	0	blutiger	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
der	O	der	0	der	0	0	0	der	0	der	0	0	0	der	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Tag	O	Tag	0	Tag	0	0	0	Tag	0	Tag	0	0	0	Tag	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
gewesen	O	gewesen	0	gewesen	0	0	0	gewesen	0	gewesen	0	0	0	gewesen	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
,	O	,	0	,	0	0	0	,	0	,	0	0	0	,	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
je	O	je	0	je	0	0	0	je	0	je	0	0	0	je	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
vergnügter	O	vergnügter	0	vergnügter	0	0	0	vergnügter	0	vergnügter	0	0	0	vergnügter	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
kehrten	O	kehrten	0	kehrten	0	0	0	kehrten	0	kehrten	0	0	0	kehrten	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
die	O	die	0	die	0	0	0	die	0	die	0	0	0	die	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Jäger	O	Jäger	0	Jäger	0	0	0	Jäger	0	Jäger	0	0	0	Jäger	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
heim	O	heim	0	heim	0	0	0	heim	0	heim	0	0	0	heim	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
,	O	,	0	,	0	0	0	,	0	,	0	0	0	,	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
je	O	je	0	je	0	0	0	je	0	je	0	0	0	je	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
liebenswürdiger	O	liebenswürdiger	0	liebenswürdiger	0	0	0	liebenswürdiger	0	liebenswürdiger	0	0	0	liebenswürdiger	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
wurde	O	wurde	0	wurde	0	0	0	wurde	0	wurde	0	0	0	wurde	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
der	O	der	0	der	0	0	0	der	0	der	0	0	0	der	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Herr	O	Herr	0	Herr	0	0	0	Herr	0	Herr	0	0	0	Herr	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Oberförster	O	Oberförster	0	0berförster	0	0	0	0berförster	0	0berförster	0	0	0	0berförster	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
zum	O	zum	0	zum	0	0	0	zum	0	zum	0	0	0	zum	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Abendessen	O	Abendessen	0	Abendessen	0	0	0	Abendessen	0	Abendessen	0	0	0	Abendessen	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
geladen	O	geladen	0	geladen	0	0	0	geladen	0	geladen	0	0	0	geladen	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
.	O	.	0	.	0	0	0	.	0	.	0	0	0	.	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Die	O	Die	0	Die	0	0	0	Die	0	Die	0	0	0	Die	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
kleine	O	kleine	0	kleine	0	0	0	kleine	0	kleine	0	0	0	kleine	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Gesellschaft	O	Gesellschaft	0	Gesellschaft	0	0	0	Gesellschaft	0	Gesellschaft	0	0	0	Gesellschaft	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
nahm	O	nahm	0	nahm	0	0	0	nahm	0	nahm	0	0	0	nahm	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
das	O	das	0	das	0	0	0	das	0	das	0	0	0	das	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Mahl	O	Mahl	0	Mahl	0	0	0	Mahl	0	Mahl	0	0	0	Mahl	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
in	O	in	0	in	0	0	0	in	0	in	0	0	0	in	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
einem	O	einem	0	einem	0	0	0	einem	0	einem	0	0	0	einem	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
traulichen	O	traulichen	0	traulichen	0	0	0	traulichen	0	traulichen	0	0	0	traulichen	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
holzgetäfelten	O	holzgetäfelten	0	h0lzgetäfelten	0	0	0	h0lzgetäfelten	0	h0lzgetäfelten	0	0	0	h0lzgetäfelten	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Zimmer	O	Zimmer	0	Zimmer	0	0	0	Zimmer	0	Zimmer	0	0	0	Zimmer	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
ein	O	ein	0	ein	0	0	0	ein	0	ein	0	0	0	ein	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
,	O	,	0	,	0	0	0	,	0	,	0	0	0	,	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
das	O	das	0	das	0	0	0	das	0	das	0	0	0	das	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
von	O	von	0	v0n	0	0	0	v0n	0	v0n	0	0	0	v0n	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
einem	O	einem	0	einem	0	0	0	einem	0	einem	0	0	0	einem	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
stark	O	stark	0	stark	0	0	0	stark	0	stark	0	0	0	stark	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
geheizten	O	geheizten	0	geheizten	0	0	0	geheizten	0	geheizten	0	0	0	geheizten	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Kachelofen	O	Kachelofen	0	Kachel0fen	0	0	0	Kachel0fen	0	Kachel0fen	0	0	0	Kachel0fen	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
fast	O	fast	0	fast	0	0	0	fast	0	fast	0	0	0	fast	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
übermäßig	O	übermäßig	0	übermäßig	0	0	0	übermäßig	0	übermäßig	0	0	0	übermäßig	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
erwärmt	O	erwärmt	0	erwärmt	0	0	0	erwärmt	0	erwärmt	0	0	0	erwärmt	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
und	O	und	0	und	0	0	0	und	0	und	0	0	0	und	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
von	O	von	0	v0n	0	0	0	v0n	0	v0n	0	0	0	v0n	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
den	O	den	0	den	0	0	0	den	0	den	0	0	0	den	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
vier	O	vier	0	vier	0	0	0	vier	0	vier	0	0	0	vier	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Kerzen	O	Kerzen	0	Kerzen	0	0	0	Kerzen	0	Kerzen	0	0	0	Kerzen	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
eines	O	eines	0	eines	0	0	0	eines	0	eines	0	0	0	eines	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Hirschweibchenlüsters	O	Hirschweibchenlüsters	0	Hirschweibchenlüsters	0	0	0	Hirschweibchenlüsters	0	Hirschweibchenlüsters	0	0	0	Hirschweibchenlüsters	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
ziemlich	O	ziemlich	0	ziemlich	0	0	0	ziemlich	0	ziemlich	0	0	0	ziemlich	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
spärlich	O	spärlich	0	spärlich	0	0	0	spärlich	0	spärlich	0	0	0	spärlich	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
erhellt	O	erhellt	0	erhellt	0	0	0	erhellt	0	erhellt	0	0	0	erhellt	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
wurde	O	wurde	0	wurde	0	0	0	wurde	0	wurde	0	0	0	wurde	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
.	O	.	0	.	0	0	0	.	0	.	0	0	0	.	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Die	O	Die	0	Die	0	0	0	Die	0	Die	0	0	0	Die	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Ereignisse	O	Ereignisse	0	Ereignisse	0	0	0	Ereignisse	0	Ereignisse	0	0	0	Ereignisse	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
des	O	des	0	des	0	0	0	des	0	des	0	0	0	des	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Tages	O	Tages	0	Tages	0	0	0	Tages	0	Tages	0	0	0	Tages	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
hatten	O	hatten	0	hatten	0	0	0	hatten	0	hatten	0	0	0	hatten	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
den	O	den	0	den	0	0	0	den	0	den	0	0	0	den	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Stoff	O	Stoff	0	St0ff	0	0	0	St0ff	0	St0ff	0	0	0	St0ff	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
zum	O	zum	0	zum	0	0	0	zum	0	zum	0	0	0	zum	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Tischgespräche	character_sound	Tischgespräche	1	Tischgespräche	1	1	1	Tischgespräche	1	Tischgespräche	1	1	1	Tischgespräche	1	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
geliefert	O	geliefert	0	geliefert	0	0	0	geliefert	0	geliefert	0	0	0	geliefert	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
.	O	.	0	.	0	0	0	.	0	.	0	0	0	.	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Beim	O	Beim	0	Beim	0	0	0	Beim	0	Beim	0	0	0	Beim	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
schwarzen	O	schwarzen	0	schwarzen	0	0	0	schwarzen	0	schwarzen	0	0	0	schwarzen	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Kaffee	O	Kaffee	0	Kaffee	0	0	0	Kaffee	0	Kaffee	0	0	0	Kaffee	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
begann	character_sound	begann	0	begann	1	1	1	begann	1	begann	0	1	1	begann	1	nÜ	nÜ	Ü	Ü	Ü	nÜ	nÜ	Ü	Ü	nÜ	nÜ	Ü	Ü	Ü
der	O	der	0	der	0	0	0	der	0	der	0	0	0	der	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Graf	O	Graf	0	Graf	0	0	0	Graf	0	Graf	0	0	0	Graf	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
in	O	in	0	in	0	0	0	in	0	in	0	0	0	in	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
seiner	O	seiner	0	seiner	0	0	0	seiner	0	seiner	0	0	0	seiner	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
breiten	O	breiten	2	breiten	2	0	2	breiten	2	breiten	0	2	2	breiten	2	nÜ	Ü	nÜ	nÜ	Ü	nÜ	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü
und	O	und	0	und	0	0	0	und	0	und	0	0	0	und	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
